url,type,severity,detail
https://spherevista360.com,seo,low,Short meta description (33 chars)
https://spherevista360.com,content_quality,high,Very short content (42 words)
https://spherevista360.com,images,high,No images found
https://spherevista360.com,images,medium,No featured image detected
https://spherevista360.com,social_media,medium,Missing Open Graph image
https://spherevista360.com,content_quality,high,Low content quality score (40.0/100)
https://spherevista360.com/category/travel/,seo,medium,Short <title> (18 chars)
https://spherevista360.com/category/travel/,seo,high,Missing meta description
https://spherevista360.com/category/travel/,content_quality,high,Very short content (40 words)
https://spherevista360.com/category/travel/,images,high,No images found
https://spherevista360.com/category/travel/,images,medium,No featured image detected
https://spherevista360.com/category/travel/,social_media,medium,Missing Open Graph image
https://spherevista360.com/category/travel/,social_media,low,Missing Open Graph description
https://spherevista360.com/category/travel/,content_quality,high,Low content quality score (40.0/100)
https://spherevista360.com/us-india-trade-2025/,seo,medium,Long <title> (81 chars)
https://spherevista360.com/us-india-trade-2025/,content_quality,high,Very short content (245 words)
https://spherevista360.com/us-india-trade-2025/,accessibility,medium,1 images missing alt text
https://spherevista360.com/us-india-trade-2025/,images,medium,No featured image detected
https://spherevista360.com/us-india-trade-2025/,social_media,medium,Missing Open Graph image
https://spherevista360.com/us-india-trade-2025/,content_quality,medium,Medium content quality score (65.0/100)
https://spherevista360.com/global-inflation-2025/,seo,medium,Long <title> (69 chars)
https://spherevista360.com/global-inflation-2025/,content_quality,high,Very short content (211 words)
https://spherevista360.com/global-inflation-2025/,accessibility,medium,1 images missing alt text
https://spherevista360.com/global-inflation-2025/,images,medium,No featured image detected
https://spherevista360.com/global-inflation-2025/,social_media,medium,Missing Open Graph image
https://spherevista360.com/global-inflation-2025/,content_quality,medium,Medium content quality score (65.0/100)
https://spherevista360.com/visa-free-destinations-2025/,seo,medium,Long <title> (73 chars)
https://spherevista360.com/visa-free-destinations-2025/,content_quality,high,Very short content (264 words)
https://spherevista360.com/visa-free-destinations-2025/,accessibility,medium,1 images missing alt text
https://spherevista360.com/visa-free-destinations-2025/,images,medium,No featured image detected
https://spherevista360.com/visa-free-destinations-2025/,social_media,medium,Missing Open Graph image
https://spherevista360.com/visa-free-destinations-2025/,content_quality,medium,Medium content quality score (65.0/100)
https://spherevista360.com/category/world/,seo,medium,Short <title> (17 chars)
https://spherevista360.com/category/world/,seo,high,Missing meta description
https://spherevista360.com/category/world/,content_quality,high,Very short content (32 words)
https://spherevista360.com/category/world/,images,high,No images found
https://spherevista360.com/category/world/,images,medium,No featured image detected
https://spherevista360.com/category/world/,social_media,medium,Missing Open Graph image
https://spherevista360.com/category/world/,social_media,low,Missing Open Graph description
https://spherevista360.com/category/world/,content_quality,high,Low content quality score (40.0/100)
https://spherevista360.com/startup-funding-2025/,content_quality,high,Very short content (201 words)
https://spherevista360.com/startup-funding-2025/,accessibility,medium,1 images missing alt text
https://spherevista360.com/startup-funding-2025/,images,medium,No featured image detected
https://spherevista360.com/startup-funding-2025/,social_media,medium,Missing Open Graph image
https://spherevista360.com/startup-funding-2025/,content_quality,medium,Medium content quality score (60.0/100)
https://spherevista360.com/category/business/,seo,medium,Short <title> (20 chars)
https://spherevista360.com/category/business/,seo,medium,Long meta description (289 chars)
https://spherevista360.com/category/business/,content_quality,high,Very short content (32 words)
https://spherevista360.com/category/business/,images,high,No images found
https://spherevista360.com/category/business/,images,medium,No featured image detected
https://spherevista360.com/category/business/,social_media,medium,Missing Open Graph image
https://spherevista360.com/category/business/,content_quality,high,Low content quality score (35.0/100)
https://spherevista360.com/category/finance/,seo,medium,Short <title> (19 chars)
https://spherevista360.com/category/finance/,seo,high,Missing meta description
https://spherevista360.com/category/finance/,content_quality,high,Very short content (39 words)
https://spherevista360.com/category/finance/,images,high,No images found
https://spherevista360.com/category/finance/,images,medium,No featured image detected
https://spherevista360.com/category/finance/,social_media,medium,Missing Open Graph image
https://spherevista360.com/category/finance/,social_media,low,Missing Open Graph description
https://spherevista360.com/category/finance/,content_quality,high,Low content quality score (40.0/100)
https://spherevista360.com/newsletter/,seo,medium,Short <title> (12 chars)
https://spherevista360.com/newsletter/,content_quality,high,Very short content (241 words)
https://spherevista360.com/newsletter/,images,medium,No featured image detected
https://spherevista360.com/newsletter/,social_media,medium,Missing Open Graph image
https://spherevista360.com/budget-travel-tips-2025/,content_quality,high,Very short content (195 words)
https://spherevista360.com/budget-travel-tips-2025/,accessibility,medium,1 images missing alt text
https://spherevista360.com/budget-travel-tips-2025/,images,medium,No featured image detected
https://spherevista360.com/budget-travel-tips-2025/,social_media,medium,Missing Open Graph image
